"","","","","","","","","","",""
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32114","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32114","02 January 2020","Kedondong Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32114","02 January 2020","Avocado Choco Ice Cream","","30800","1","30800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Bakso Buntut Komplit","","46800","2","93600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Bakso Buntut Urat","","41800","1","41800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Kedondong Juice","","26800","2","53600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Carrot Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Tempe Goreng","","24800","1","24800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32120","02 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Sop Buntut Premium Original","","88800","2","177600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Sop Buntut Premium Original","","88800","2","177600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Nasi G.B - Babat Cabe Ijo","","39800","2","79600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Kedondong Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Teh O Tawar Dingin","","11800","2","23600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32116","02 January 2020","Hot Lemon Tea","","19800","1","19800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32119","02 January 2020","Sop Daging Iga Original","","56800","1","56800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32119","02 January 2020","Nasi Putih","","8800","1","8800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32119","02 January 2020","Nasi G.B - Daging Iga Cabe Ijo","","52800","1","52800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32119","02 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32119","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Sop Buntut Special Original","","64800","1","64800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Sop Daging Iga + Paru Cak Yo","","49800","1","49800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Bakso Buntut Komplit","","46800","1","46800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Mie Telor","","9800","1","9800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Orange Juice","","26800","3","80400"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32123","02 January 2020","Bakso Tahu Goreng (5 pcs)","","31800","1","31800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32128","02 January 2020","Sop Komplit Cak Yo","","49800","2","99600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32128","02 January 2020","Nasi Putih","","8800","2","17600"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32128","02 January 2020","Orange Juice","","26800","1","26800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32128","02 January 2020","Teh O Tawar Hangat","","11800","1","11800"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32128","02 January 2020","Emping","","10000","1","10000"
"14","CHOP BUNTUT","1","CHOP BUNTUT ARCADIA GREEN PARK","32118","02 January 2020","Sop Daging Iga + Kikil Original","","49800","2","99600"
